-10,-21,-5
-11,-14,0
-25,-13,-7
-82,-23,-13
-128,-58,-31
-128,-74,-47
-127,-69,-17
-94,-58,-10
-48,-21,-3
36,15,3
74,27,0
61,20,-16
45,14,2
-41,18,-4
-128,19,-37
-128,-44,-25
-128,-100,-8
-128,-83,-1
-82,-17,4
-35,16,6
80,33,-20
89,44,-30
69,32,-14
-6,55,-8
-128,65,-27
-128,-32,-26
-128,-97,-10
-128,-76,2
-111,-10,-1
-73,25,-12
56,48,-26
117,46,-34
108,41,-7
24,42,-16
-103,58,-18
-128,-15,-13
-128,-105,-11
-128,-87,0
-117,-26,6
-80,10,-6
48,48,-20
123,52,-36
113,46,-23
38,46,-6
-75,64,-19
-128,4,-23
-128,-106,-16
-128,-94,-2
-128,-35,6
-103,-2,-4
-6,58,-18
111,62,-35
127,59,-36
101,50,-5
50,67,-4
-128,80,-31
-128,-64,-40
-128,-112,-14
-128,-68,13
-128,-39,13
-60,45,-7
79,77,-34
124,83,-48
119,63,-35
80,58,-23
-123,82,13
-128,-16,-28
-128,-86,-10
-128,-88,19
-128,-50,18
-91,13,4
-2,77,-29
51,76,-41
113,49,-47
99,38,-28
1,27,-3
-128,8,14
-128,-49,-1
-128,-108,9
-128,-87,11
-84,-15,8
8,39,-15
67,43,-27
123,37,-26
99,33,-12
-2,51,0
-128,54,-39
-128,-30,-46
-128,-104,-4
-125,-59,26
-108,-30,21
-51,29,0
2,51,-9
103,58,-37
120,52,-33
62,41,-23
-110,59,-11
-128,37,-9
-128,-85,-5
-128,-117,12
-128,-80,25
-122,-23,3
-102,-1,-4
-33,52,-17
10,63,-23
69,47,-35
72,28,-23
44,-6,-5
-24,-3,3
-72,-1,14
-128,-8,1
-128,-43,18
-128,-52,21
-128,-54,27
-128,-46,26
-116,-22,17
-65,0,1
-25,20,2
73,35,-29
105,47,-40
83,37,-26
-39,43,-29
-128,41,-2
-128,-54,-7
-128,-100,14
-128,-70,30
-126,-42,28
-55,23,10
60,66,-31
109,79,-49
109,67,-56
68,64,-47
-99,65,-16
-128,-38,7
-128,-111,17
-128,-96,36
-128,-55,30
-76,15,8
35,72,-28
108,90,-48
127,88,-48
126,78,-24
-63,101,-34
-128,44,-38
-128,-58,-55
-128,-103,-3
-128,-59,12
-128,-1,15
-51,72,-10
27,86,-25
127,81,-54
127,78,-46
73,79,-40
-128,96,-13
-128,45,-26
-128,-99,0
-128,-103,20
-128,-51,31
-128,-3,9
-107,18,2
-2,69,-26
80,77,-51
127,64,-52
78,57,-52
-29,74,-36
-128,46,-25
-128,-26,-16
-128,-109,42
-128,-56,50
-111,-38,40
-50,20,2
-9,44,-21
98,72,-59
97,67,-62
70,60,-42
-87,56,0
-128,44,1
-128,-73,41
-128,-97,48
-128,-60,45
-81,-10,19
-49,15,-6
40,50,-51
119,75,-83
104,82,-95
24,66,-38
-66,73,-11
-128,27,66
-128,-110,127
-128,-117,127
-128,-52,91
-122,-18,51
-59,44,-36
55,85,-122
90,82,-128
88,73,-101
74,58,-51
-45,62,74
-128,26,127
-128,-60,127
-128,-99,127
-128,-60,127
-75,3,37
21,81,-93
53,98,-128
55,80,-128
25,64,-128
12,48,49
-128,67,127
-128,13,127
-124,-101,127
-93,-63,127
-63,-1,86
-47,68,-42
-21,99,-117
13,100,-128
18,66,-128
39,43,-61
29,59,18
-109,99,127
-128,19,127
-111,-40,127
-71,-36,127
-66,3,101
-68,18,53
-49,42,-79
-28,52,-128
-16,59,-128
12,54,-105
25,57,-40
2,73,110
-36,71,127
-87,20,127
-66,-20,127
-20,-48,127
-23,-20,113
-30,-6,73
-49,9,6
-52,12,-41
-37,8,-128
-29,23,-126
-7,36,-104
31,54,37
31,50,108
-8,-4,127
-52,-45,127
-59,-50,127
-29,-38,127
-15,-15,81
2,29,-46
-12,23,-128
-10,17,-128
8,30,-82
11,36,3
-20,48,127
-67,1,127
-64,-30,127
-51,-45,127
-40,-32,127
-19,-11,77
-20,18,-13
-1,25,-53
20,18,-81
5,16,-95
-2,3,-56
-4,6,3
-21,-1,46
-87,-4,127
-95,-14,127
-90,-54,127
-70,-48,126
-57,-35,86
-34,-15,32
-22,2,-7
18,31,-91
11,31,-128
3,33,-128
-4,34,2
-39,36,103
-96,11,127
-66,-62,127
-58,-58,127
-43,-14,88
-28,0,36
-3,30,-81
3,49,-128
-5,47,-128
-3,47,-65
-7,47,-5
-56,26,127
-119,2,127
-125,-17,127
-95,-50,127
-78,-37,127
-48,-9,79
-52,3,25
-39,10,3
6,34,-57
