-63,-2,-19
-64,-2,-19
-63,-2,-18
-63,-2,-18
-63,-3,-18
-62,-3,-18
-62,-4,-19
-62,-4,-20
-62,-4,-20
-62,-3,-20
-61,-2,-21
-62,-2,-20
-60,-1,-19
-60,0,-18
-60,0,-18
-61,0,-18
-61,1,-18
-62,0,-19
-62,0,-19
-62,-1,-18
-61,-2,-18
-61,-3,-19
-64,-3,-20
-64,-2,-21
-63,-1,-20
-61,-1,-20
-59,0,-18
-59,0,-18
-60,1,-18
-61,0,-19
-61,0,-19
-61,0,-19
-63,-1,-19
-63,-1,-19
-61,-1,-18
-60,-2,-18
-60,-2,-19
-59,-2,-19
-60,-2,-20
-61,-2,-20
-61,-2,-20
-61,-3,-19
-63,-4,-18
